ANIO,CVE_ENT,CRE_NAT,CRE_SOC,CRE_TOT,DEF,EDAD_MED,EMI_EST,EMI_INT,EVH,EVM,EV,HOM_MIT_ANIO,IND_ENV,INM_EST,INM_INT,MIG_NET_EST,MIG_NET_INT,MUJ_MIT_ANIO,NAC,POB_MIT_ANIO,MUJ_12_14,MUJ_15_17,MUJ_15_19,MUJ_15_29,MUJ_15_49,MUJ_18_24,MUJ_20_24,MUJ_3_5,MUJ_30_64,MUJ_6_11,MUJ_65_MAS,HOM_12_14,HOM_15_17,HOM_15_19,HOM_15_29,HOM_15_49,HOM_18_24,HOM_20_24,HOM_3_5,HOM_30_64,HOM_6_11,HOM_65_MAS,POB_12_14,POB_15_17,POB_15_19,POB_15_29,POB_15_49,POB_18_24,POB_20_24,POB_3_5,POB_30_64,POB_6_11,POB_65_MAS,RAZ_DEP_ADU,RAZ_DEP_INF,RAZ_DEP,T_BRU_MOR,T_BRU_NAT,T_CRE_NAT,T_CRE_SOC,T_CRE_TOT,T_EMI_EST,T_INM_EST,T_MIG_NET_EST,T_MIG_NET_INT,TMIH,TMIM,TMI,TEF_ADO,TGF
2020,17,19823,1449,21272,13825,29.11,11449,6421,72.67,77.81,75.27,991785,34.98,16522,2797,5073,-3624,1052273,33648,2044058,49928,50635,84615,255403,550426,119346,85366,50056,450190,98804,98271,52080,52356,86965,257731,517375,120669,86060,51928,396255,103249,79119,102008,102991,171580,513134,1067801,240015,171426,101984,846445,202053,177390,13.05,37.3,50.34,6.76,16.46,0.97,0.07,1.04,0.560111308,0.80829409,0.248182782,-0.18,11.14,9.1,10.14,69.85,2.02
2021,17,19283,1354,20637,14085,29.78,11398,6496,72.78,77.95,75.39,1002183,36.25,16429,2819,5031,-3677,1062831,33368,2065014,49782,50467,84359,254898,553434,118944,85052,50237,457830,98981,101759,52006,52329,86973,257825,521858,120397,85753,52020,403793,103416,81984,101788,102796,171332,512723,1075292,239341,170805,102257,861623,202397,183743,13.37,36.88,50.25,6.82,16.16,0.93,0.07,1,0.551957517,0.795587827,0.24363031,-0.18,10.87,8.85,9.89,69.01,2
2022,17,18894,1294,20188,14334,30,11339,6554,72.91,78.09,75.53,1012290,37.59,16332,2855,4993,-3699,1073133,33228,2085423,49669,50261,84082,254202,556104,118619,84798,50140,465251,99363,105451,51972,52228,86931,257602,526115,120245,85542,51880,411272,103709,85015,101641,102489,171013,511804,1082219,238864,170340,102020,876523,203072,190466,13.72,36.49,50.21,6.87,15.93,0.91,0.06,0.97,0.54372662,0.783150469,0.239423848,-0.18,10.56,8.59,9.6,68.59,1.99
2023,17,18337,1213,19550,14604,30.12,11271,6610,73.03,78.23,75.66,1022110,39.03,16223,2871,4952,-3739,1083181,32941,2105291,49590,50067,83803,253398,558502,118325,84589,49864,472407,99822,109338,51966,52115,86842,257196,530218,120167,85440,51597,418598,104024,88199,101556,102182,170645,510594,1088720,238492,170029,101461,891005,203846,197537,14.09,36.11,50.21,6.94,15.65,0.87,0.06,0.93,0.53536542,0.770582309,0.235216889,-0.18,10.27,8.34,9.33,67.87,1.97
2024,17,17934,1138,19072,14860,30.81,11197,6662,73.18,78.38,75.81,1031642,40.54,16113,2884,4916,-3778,1092957,32794,2124599,49577,49914,83509,252536,560653,117996,84401,49580,479251,100155,113399,51988,52043,86715,256712,534225,120113,85441,51299,425695,104217,91520,101565,101957,170224,509248,1094878,238109,169842,100879,904946,204372,204919,14.49,35.74,50.23,6.99,15.44,0.84,0.05,0.9,0.527017098,0.758401938,0.23138484,-0.18,9.95,8.07,9.04,67.5,1.96
2020,18,14598,3090,17688,7892,27.69,7265,3155,72.9,77.9,75.33,644201,27.83,10989,2521,3724,-634,644370,22490,1288571,33984,33001,54438,158454,334379,73879,52442,35121,260914,70545,51813,35786,34901,57497,166112,334555,77560,54964,36494,250706,73587,46678,69770,67902,111935,324566,668934,151439,107406,71615,511620,144132,98491,11.78,42.32,54.1,6.12,17.45,1.13,0.24,1.37,0.563802848,0.852805162,0.289002313,-0.05,10.93,8.93,9.96,79.48,2.2
2021,18,14415,3059,17474,8036,28,7211,3187,73,78.03,75.44,653029,28.75,10909,2548,3698,-639,653116,22451,1306145,34351,33371,55009,159505,338333,74281,52643,34630,266660,71129,53536,36072,35256,58087,167367,339385,78027,55196,36023,256665,74043,48264,70423,68627,113096,326872,677718,152308,107839,70653,523325,145172,101800,11.97,41.65,53.63,6.15,17.19,1.1,0.23,1.34,0.552082655,0.835205892,0.283123237,-0.05,10.67,8.7,9.71,78.61,2.18
2022,18,14037,3013,17050,8177,28,7150,3218,73.14,78.17,75.59,661681,29.75,10811,2570,3661,-648,661723,22214,1323404,34710,33727,55605,160554,342200,74814,52936,34253,272341,71398,55380,36349,35562,58660,168518,344131,78620,55522,35652,262636,74222,49937,71059,69289,114265,329072,686331,153434,108458,69905,534977,145620,105317,12.19,40.97,53.16,6.18,16.79,1.06,0.23,1.29,0.540273416,0.816908518,0.276635102,-0.05,10.36,8.44,9.43,77.12,2.14
2023,18,13880,2959,16839,8325,28.61,7090,3248,73.27,78.31,75.72,670160,30.84,10711,2586,3621,-662,670185,22205,1340345,35059,34083,56216,161644,345998,75452,53319,34002,277914,71337,57340,36621,35844,59203,169628,348819,79304,55945,35387,268561,74110,51692,71680,69927,115419,331272,694817,154756,109264,69389,546475,145447,109032,12.42,40.28,52.7,6.21,16.57,1.04,0.22,1.26,0.528968288,0.799122614,0.270154326,-0.05,10.07,8.19,9.16,76.38,2.12
2024,18,13523,2903,16426,8477,29,7031,3272,73.41,78.46,75.86,678471,32.02,10612,2594,3581,-678,678500,22000,1356971,35415,34444,56811,162787,349743,76152,53785,33760,283350,71061,59415,36903,36124,59695,170742,353479,80037,56466,35133,274396,73799,53523,72318,70568,116506,333529,703222,156189,110251,68893,557746,144860,112938,12.67,39.58,52.25,6.25,16.21,1,0.21,1.21,0.518139297,0.782035873,0.263896576,-0.05,9.77,7.94,8.88,75,2.08
2020,19,59241,17149,76390,31541,29,17129,4067,72.92,79.1,75.92,2803984,29.62,34431,3914,17302,-153,2806169,90782,5610153,136877,138530,231881,696377,1501439,327053,233702,135309,1209671,272207,222546,141660,144440,242265,736762,1533275,345717,247892,139851,1181498,280252,185589,278537,282970,474146,1433139,3034714,672770,481594,275160,2391169,552459,408135,10.67,36.03,46.7,5.62,16.18,1.06,0.31,1.36,0.305321441,0.613726578,0.308405136,0,10.01,8.35,9.2,62.57,2.01
2021,19,58297,16788,75085,32409,29.49,17104,4105,73.04,79.2,76.03,2841387,30.95,34041,3956,16937,-149,2844501,90706,5685888,137012,138991,232689,700845,1515571,328915,235217,134668,1233562,272864,232465,141530,144604,242667,740555,1549168,346829,248766,139820,1206585,280674,193949,278542,283595,475356,1441400,3064739,675744,483983,274488,2440147,553538,426414,10.99,35.5,46.49,5.7,15.95,1.03,0.3,1.32,0.30081493,0.598692764,0.297877834,0,9.76,8.15,8.98,61.87,1.99
2022,19,57433,16428,73861,33250,30,17047,4144,73.16,79.33,76.16,2878105,32.35,33632,3987,16585,-157,2882253,90683,5760358,137156,139248,233313,704620,1528787,330767,236702,134262,1257060,273160,242984,141474,144519,242816,743232,1564112,347939,249642,139698,1231615,281111,202775,278630,283767,476129,1447852,3092899,678706,486344,273960,2488675,554271,445759,11.32,35.01,46.33,5.77,15.74,1,0.29,1.28,0.295936468,0.583852601,0.287916133,0,9.49,7.92,8.73,61.28,1.98
2023,19,56495,16058,72553,34107,30,16995,4185,73.29,79.46,76.29,2914141,33.83,33227,4011,16232,-174,2919428,90602,5833569,137346,139368,233796,707801,1541206,332485,238057,134097,1280058,273049,254130,141503,144310,242790,745053,1578316,348943,250463,139525,1256366,281484,212077,278849,283678,476586,1452854,3119522,681428,488520,273622,2536424,554533,466207,11.69,34.54,46.23,5.85,15.53,0.97,0.28,1.24,0.291331087,0.569582703,0.278251616,0,9.22,7.7,8.48,60.71,1.96
2024,19,55577,15697,71274,34978,30.42,16926,4208,73.42,79.59,76.42,2949475,35.39,32798,4033,15872,-175,2956005,90555,5905480,137653,139450,234074,710484,1552962,333878,239254,133969,1302464,272687,265872,141647,144130,242586,746288,1592000,349689,251233,139387,1280609,281652,221831,279300,283580,476660,1456772,3144962,683567,490487,273356,2583073,554339,487703,12.07,34.11,46.18,5.92,15.33,0.94,0.27,1.21,0.286615144,0.555382458,0.268767314,0,8.95,7.47,8.23,60.21,1.95
2020,20,44359,-21904,22455,29298,27.21,21872,21617,71.39,76.84,74.17,1988754,31.07,16568,5017,-5304,-16600,2154839,73657,4143593,115609,113905,187437,535391,1108592,250456,176924,109690,862074,228413,196082,118751,115798,189034,518792,1002748,244456,171220,113472,732450,235632,158321,234360,229703,376471,1054183,2111340,494912,348144,223162,1594524,464045,354403,13.38,43.06,56.44,7.07,17.78,1.07,-0.53,0.54,0.52785107,0.39984622,-0.12800485,-0.4,19.94,16.09,18.06,69.85,2.16
2021,20,43363,-21778,21585,29559,27.87,21501,21846,71.53,76.98,74.31,1998986,32.09,16503,5066,-4998,-16780,2166633,72922,4165619,115107,113825,187548,535042,1114165,250314,176591,108381,874467,226151,200869,118337,115972,189704,519844,1009484,244911,171179,112134,742885,233544,161892,233444,229797,377252,1054886,2123649,495225,347770,220515,1617352,459695,362761,13.58,42.31,55.89,7.1,17.51,1.04,-0.52,0.52,0.516153782,0.396171613,-0.119982168,-0.4,19.45,15.7,17.62,69.09,2.13
2022,20,42477,-21653,20824,29800,28,21130,22045,71.68,77.15,74.47,2008794,33.17,16415,5107,-4715,-16938,2178038,72277,4186832,114501,113529,187461,534485,1119206,250497,176565,107329,886480,223617,205963,117836,115839,190064,520500,1015827,245718,171493,111043,753196,231139,165715,232337,229368,377525,1054985,2135033,496215,348058,218372,1639676,454756,371678,13.79,41.58,55.38,7.12,17.26,1.01,-0.52,0.5,0.504677522,0.392062543,-0.11261498,-0.4,18.93,15.25,17.13,68.46,2.11
2023,20,41527,-21516,20011,30040,28.11,20761,22229,71.83,77.31,74.63,2018172,34.33,16331,5143,-4430,-17086,2189065,71567,4207237,113755,113133,187158,533837,1123769,250828,176803,106396,898020,220966,211362,117198,115556,190087,520947,1021861,246686,172155,110085,763206,228564,169783,230953,228689,377245,1054784,2145630,497514,348958,216481,1661226,449530,381145,14.03,40.87,54.91,7.14,17.01,0.99,-0.51,0.48,0.493459247,0.388164489,-0.105294758,-0.41,18.4,14.81,16.64,67.76,2.09
2024,20,40633,-21379,19254,30313,28.78,20392,22384,71.98,77.47,74.79,2027157,35.57,16236,5161,-4156,-17223,2199712,70946,4226869,112898,112684,186580,533070,1127850,251098,177202,105467,909063,218356,217048,116427,115220,189774,521245,1027652,247636,173082,109121,772868,226001,174067,229325,227904,376354,1054315,2155502,498734,350284,214588,1681931,444357,391115,14.29,40.18,54.48,7.17,16.78,0.96,-0.51,0.46,0.482437473,0.384114104,-0.098323369,-0.41,17.86,14.36,16.15,67.16,2.07
2020,21,79566,-18462,61104,39822,27,29303,24349,71.74,77.83,74.85,3182320,26.52,29449,5741,146,-18608,3422131,119388,6604451,181800,181904,301729,876118,1810565,411991,292166,177201,1380566,359516,272362,186844,186229,307691,872448,1673448,413324,291862,183391,1179149,370647,208968,368644,368133,609420,1748566,3484013,825315,584028,360592,2559715,730163,481330,11.17,42.12,53.3,6.03,18.08,1.2,-0.28,0.93,0.44368563,0.44589626,0.00221063,-0.28,17.49,14.07,15.82,76.78,2.13
2021,21,78040,-18516,59524,40436,27,28966,24603,71.87,77.96,74.97,3211545,27.55,29261,5792,295,-18811,3453219,118476,6664764,181158,181812,301856,877454,1824452,412515,292471,175612,1406210,358087,281496,186200,186217,308137,875582,1690219,414291,292371,181969,1202937,369476,215906,367358,368029,609993,1753036,3514671,826806,584842,357581,2609147,727563,497402,11.4,41.38,52.79,6.07,17.78,1.17,-0.28,0.89,0.434614039,0.439040302,0.004426263,-0.28,17.06,13.74,15.44,75.81,2.1
2022,21,76370,-18556,57814,41040,27.58,28620,24837,72.02,78.1,75.12,3239890,28.66,29063,5838,443,-18999,3483541,117410,6723431,180495,181399,301679,878147,1837166,413285,293005,174149,1431338,356356,291213,185597,185796,308146,877565,1706006,415450,293100,180547,1226763,368073,223274,366092,367195,609825,1755712,3543172,828735,586105,354696,2658101,724429,514487,11.66,40.67,52.33,6.1,17.46,1.14,-0.28,0.86,0.425675522,0.43226442,0.006588898,-0.28,16.59,13.36,15.02,74.81,2.08
2023,21,74826,-18589,56237,41678,28,28270,25050,72.16,78.25,75.26,3267363,29.84,28859,5872,589,-19178,3513102,116504,6780465,179811,180818,301208,878371,1848813,414054,293664,172828,1455819,354279,301503,185012,185189,307758,878733,1721006,416576,294007,179184,1250373,366356,231042,364823,366007,608966,1757104,3569819,830630,587671,352012,2706192,720635,532545,11.93,39.98,51.92,6.15,17.18,1.1,-0.27,0.83,0.416933057,0.425619777,0.00868672,-0.28,16.14,12.99,14.6,73.96,2.05
2024,21,73143,-18578,54565,42289,28,27901,25218,72.31,78.4,75.42,3293975,31.09,28637,5904,736,-19314,3541887,115432,6835862,179153,180197,300397,878205,1859467,414550,294350,171511,1479559,351989,312330,184442,184595,307009,879353,1735403,417457,295043,177808,1273560,364377,239179,363595,364792,607406,1757558,3594870,832007,589393,349319,2753119,716366,551509,12.23,39.32,51.55,6.19,16.89,1.07,-0.27,0.8,0.408156279,0.418923027,0.010766747,-0.28,15.66,12.6,14.17,73.05,2.03
2020,22,27468,12770,40238,11712,27.98,8651,7722,72.72,78.65,75.66,1124212,24.15,26730,2413,18079,-5309,1155425,39180,2279637,57797,58484,97775,298273,637715,138699,99408,58190,489975,115076,78561,61332,61666,102738,308319,618238,144209,103137,61223,445882,122727,64849,119129,120150,200513,606592,1255953,282908,202545,119413,935857,237803,143410,9.3,38.5,47.79,5.14,17.19,1.2,0.56,1.77,0.379490243,1.172555104,0.793064861,-0.23,13.1,10.65,11.9,59.74,2.01
2021,22,26996,12556,39552,12056,28,8601,7800,72.84,78.76,75.78,1143982,25.34,26521,2436,17920,-5364,1175555,39052,2319537,57927,58653,98054,299386,646377,139003,99602,58329,503929,115790,82720,61578,61965,103270,310456,628459,144778,103473,61169,459309,123470,68199,119505,120618,201324,609842,1274836,283781,203075,119498,963238,239260,150919,9.59,37.86,47.45,5.2,16.84,1.16,0.54,1.71,0.37080676,1.143374734,0.772567974,-0.23,12.78,10.4,11.62,58.93,1.99
2022,22,26577,12320,38897,12405,28.54,8556,7873,72.97,78.89,75.91,1163383,26.61,26291,2458,17735,-5415,1195375,38982,2358758,58083,58761,98297,300220,654497,139391,99855,58336,517695,116537,87139,61852,62180,103737,312131,638235,145431,103874,61087,472782,124105,71743,119935,120941,202034,612351,1292732,284822,203729,119423,990477,240642,158882,9.91,37.25,47.16,5.26,16.53,1.13,0.52,1.65,0.362733269,1.114612012,0.751878743,-0.23,12.43,10.11,11.3,58.3,1.97
2023,22,26053,12114,38167,12767,29,8489,7937,73.1,79.03,76.04,1182410,27.97,26069,2471,17580,-5466,1214883,38820,2397293,58276,58845,98514,300868,662110,139820,100151,58275,531188,117218,91828,62148,62375,104164,313490,647642,146135,104346,61015,486184,124561,75480,120424,121220,202678,614358,1309752,285955,204497,119290,1017372,241779,167308,10.25,36.66,46.92,5.33,16.19,1.09,0.51,1.59,0.354107737,1.087434869,0.733327132,-0.23,12.1,9.83,10.99,57.61,1.95
2024,22,25586,11904,37490,13131,29.11,8432,7990,73.24,79.17,76.18,1201050,29.41,25842,2484,17410,-5506,1234065,38717,2435115,58534,58946,98685,301387,669265,140203,100464,58181,544360,117756,96778,62483,62602,104539,314653,656757,146824,104887,60903,499411,124847,79398,121017,121548,203224,616040,1326022,287027,205351,119084,1043771,242603,176176,10.61,36.1,46.71,5.39,15.9,1.05,0.49,1.54,0.346267014,1.061222981,0.714955967,-0.23,11.74,9.54,10.67,57.04,1.93
2020,23,22460,15939,38399,7525,27.53,14871,1203,72.64,78.64,75.48,869571,18.24,29826,2187,14955,984,853688,29985,1723259,43070,43616,73259,229633,489875,106319,76676,45300,362262,87224,41785,44149,45262,76410,241667,501987,112274,81126,46923,361527,89439,39685,87219,88878,149669,471300,991862,218593,157802,92223,723789,176663,81470,6.82,37.38,44.2,4.37,17.4,1.3,0.92,2.23,0.862957919,1.730790322,0.867832404,0.06,11.1,9.15,10.15,65.41,1.98
2021,23,22205,15659,37864,7794,28,15034,1215,72.76,78.8,75.62,888988,19.28,29698,2210,14664,995,872401,29999,1761389,43389,44054,73925,231688,498670,107075,77204,45472,374463,88377,44615,44421,45626,77023,244377,512001,113299,81902,47331,373805,90692,42198,87810,89680,150948,476065,1010671,220374,159106,92803,748268,179069,86813,7.09,36.77,43.87,4.42,17.03,1.26,0.89,2.15,0.853530935,1.686055721,0.832524786,0.06,10.82,8.9,9.88,64.48,1.95
2022,23,21830,15357,37187,8081,28,15192,1227,72.88,78.92,75.74,908079,20.41,29554,2222,14362,995,890834,29911,1798913,43720,44426,74564,233513,507046,107919,77781,45511,386549,89518,47664,44728,45915,77562,246688,521629,114330,82683,47471,386118,92069,44880,88448,90341,152126,480201,1028675,222249,160464,92982,772667,181587,92544,7.39,36.2,43.58,4.49,16.63,1.21,0.85,2.07,0.84450999,1.642881006,0.798371016,0.06,10.53,8.66,9.61,63.52,1.93
2023,23,21517,15077,36594,8386,28.67,15331,1235,72.99,79.01,75.85,926817,21.62,29400,2243,14069,1008,908979,29903,1835796,44094,44740,75178,235160,515025,108828,78390,45490,398462,90532,50938,45097,46157,78061,248688,530909,115350,83446,47448,398373,93414,47729,89191,90897,153239,483848,1045934,224178,161836,92938,796835,183946,98667,7.7,35.64,43.35,4.57,16.29,1.17,0.82,1.99,0.835114577,1.601485132,0.766370555,0.05,10.24,8.44,9.36,62.78,1.91
2024,23,21122,14788,35910,8675,29,15469,1241,73.13,79.17,76,945214,22.91,29252,2246,13783,1005,926834,29797,1872048,44562,45034,75731,236680,522652,109716,79019,45448,410156,91325,54430,45575,46405,78512,250483,539922,116294,84187,47401,410485,94526,50751,90137,91439,154243,487163,1062574,226010,163206,92849,820641,185851,105181,8.04,35.1,43.14,4.63,15.92,1.13,0.79,1.92,0.826314283,1.562566772,0.736252489,0.05,9.92,8.17,9.07,61.9,1.88
2020,24,29998,-10162,19836,19246,28,13617,10565,72.27,77.56,74.91,1399071,31.41,10744,3276,-2873,-7289,1467071,49244,2866142,76883,77366,128059,369115,767680,173608,122915,72980,599787,148698,126986,79009,79357,130982,370670,724065,175337,123712,75618,535397,153151,109918,155892,156723,259041,739785,1491745,348945,246627,148598,1135184,301849,236904,12.64,40.23,52.86,6.71,17.18,1.05,-0.35,0.69,0.475098582,0.374859306,-0.100239276,-0.25,12.64,10.26,11.48,67.18,2.09
2021,24,29357,-10061,19296,19487,28.01,13344,10674,72.39,77.69,75.03,1408390,32.52,10656,3301,-2688,-7373,1477315,48844,2885705,76145,76884,127538,368828,771563,173440,122786,73084,609347,147236,130720,78249,78898,130552,370796,728975,175217,123563,75783,544290,151843,112805,154394,155782,258090,739624,1500538,348657,246349,148867,1153637,299079,243525,12.86,39.56,52.42,6.75,16.93,1.02,-0.35,0.67,0.46241733,0.369268515,-0.093148815,-0.26,12.33,10,11.19,66.87,2.07
2022,24,28559,-9945,18614,19716,28.72,13062,10779,72.53,77.84,75.18,1417384,33.7,10558,3338,-2504,-7441,1487268,48275,2904652,75385,76239,126811,368171,774931,173305,122733,72814,618669,146222,134722,77502,78240,129872,370358,733435,175126,123494,75524,553163,151011,115898,152887,154479,256683,738529,1508366,348431,246227,148338,1171832,297233,250620,13.12,38.93,52.05,6.79,16.62,0.98,-0.34,0.64,0.449692424,0.363485884,-0.08620654,-0.26,11.97,9.7,10.86,66.33,2.04
2023,24,27886,-9861,18025,19972,29,12784,10874,72.66,77.99,75.32,1426042,34.96,10446,3351,-2338,-7523,1496921,47858,2922963,74593,75544,125909,367232,777842,173082,122717,72172,627688,145645,138982,76753,77514,128972,369516,737537,174950,123492,74862,561894,150613,119184,151346,153058,254881,736748,1515379,348032,246209,147034,1189582,296258,258166,13.4,38.34,51.74,6.83,16.37,0.95,-0.34,0.62,0.437364414,0.357377086,-0.079987328,-0.26,11.64,9.41,10.55,65.99,2.02
2024,24,27050,-9706,17344,20222,29.12,12504,10933,72.8,78.14,75.47,1434377,36.29,10358,3373,-2146,-7560,1506274,47272,2940651,73810,74847,124832,366012,780332,172653,122668,71525,636386,145118,143503,76016,76808,127895,368369,741358,174598,123511,74187,570414,150241,122651,149826,151655,252727,734381,1521690,347251,246179,145712,1206800,295359,266154,13.71,37.78,51.49,6.88,16.08,0.92,-0.33,0.59,0.425211968,0.35223493,-0.072977038,-0.26,11.28,9.11,10.22,65.4,1.99
2020,25,30360,-5088,25272,20246,29,22021,4076,72.13,78.29,75.13,1568423,32.78,18123,2886,-3898,-1190,1588251,50606,3156674,79925,80895,134662,394399,832367,185842,132075,75760,669499,155401,138906,84282,85258,141726,412672,828464,195002,138534,78640,632555,163479,119722,164207,166153,276388,807071,1660831,380844,270609,154400,1302054,318880,258628,12.26,37.41,49.67,6.41,16.03,0.96,-0.16,0.8,0.697601336,0.574116934,-0.123484402,-0.04,12.8,10.45,11.65,67.94,2.01
2021,25,29667,-5057,24610,20635,29.01,21859,4108,72.26,78.42,75.26,1580461,34.24,17997,2913,-3862,-1195,1601148,50302,3181609,79350,80565,134266,394353,836422,185698,131997,75099,679832,154385,144265,83682,85000,141486,413270,834094,194931,138445,77778,643220,162144,123805,163032,165565,275752,807623,1670516,380629,270442,152877,1323052,316529,268070,12.58,36.74,49.32,6.49,15.81,0.93,-0.16,0.77,0.687042311,0.565657188,-0.121385123,-0.04,12.47,10.19,11.36,67,1.99
2022,25,28889,-5034,23855,21027,29.73,21698,4149,72.4,78.56,75.4,1592125,35.78,17877,2936,-3821,-1213,1613713,49916,3205838,78774,80090,133715,393906,839938,185578,131953,74514,689911,153328,149900,83094,84540,141034,413223,839233,194887,138393,77118,653870,160641,128115,161868,164630,274749,807129,1679171,380465,270346,151632,1343781,313969,278015,12.93,36.12,49.05,6.56,15.57,0.9,-0.16,0.74,0.676827712,0.557638908,-0.119188805,-0.04,12.11,9.9,11.04,66.07,1.97
2023,25,28187,-5009,23178,21422,30,21530,4187,72.53,78.7,75.54,1603408,37.41,17755,2953,-3775,-1234,1625949,49609,3229357,78206,79542,133021,393144,842991,185385,131906,73999,699667,152228,155803,82513,83965,140381,412698,843993,194790,138374,76589,664366,159042,132632,160719,163507,273402,805842,1686984,380175,270280,150588,1364033,311270,288435,13.29,35.53,48.83,6.63,15.36,0.87,-0.16,0.72,0.666696188,0.549799852,-0.116896336,-0.04,11.77,9.62,10.72,65.37,1.95
2024,25,27394,-4981,22413,21816,30.21,21345,4214,72.68,78.85,75.69,1614321,39.11,17607,2971,-3738,-1243,1637837,49210,3252158,77674,78980,132183,392113,845630,185021,131818,73511,709053,151110,161960,81928,83375,139547,411826,848485,194559,138387,76086,674604,157457,137354,159602,162355,271730,803939,1694115,379580,270205,149597,1383657,308567,299314,13.68,34.98,48.66,6.71,15.13,0.84,-0.15,0.69,0.656333425,0.54139436,-0.114939065,-0.04,11.4,9.32,10.39,64.61,1.93
2020,26,31577,4993,36570,18069,29,11746,4425,72.39,78.58,75.38,1528688,29.7,15863,5301,4117,876,1546057,49646,3074745,78817,78856,131063,386681,819337,181174,128967,75762,651684,156213,123591,81056,81639,135524,396404,816636,186077,132192,77664,631458,158685,107353,159873,160495,266587,783085,1635973,367251,261159,153426,1283142,314898,230944,11.18,37.63,48.81,5.88,16.15,1.03,0.16,1.19,0.382015419,0.515912702,0.133897283,0.03,11.83,9.7,10.79,62.05,2
2021,26,31196,4998,36194,18502,29,11654,4476,72.52,78.71,75.52,1546538,31.2,15770,5358,4116,882,1564581,49698,3111119,78758,79016,131403,388412,827303,181794,129407,74772,664232,155902,129447,80757,81657,135784,398308,825110,186812,132685,77308,643941,158208,112206,159515,160673,267187,786720,1652413,368606,262092,152080,1308173,314110,241653,11.54,36.97,48.51,5.95,15.97,1,0.16,1.16,0.374591907,0.506891572,0.132299665,0.03,11.52,9.45,10.51,61.18,1.98
2022,26,30389,4998,35387,18967,29.48,11551,4518,72.64,78.85,75.65,1564067,32.77,15673,5394,4122,876,1582827,49356,3146894,78668,79056,131638,389806,834806,182488,129906,74160,676604,155170,135581,80461,81478,135813,399664,833093,187571,133236,76980,656394,157703,117281,159129,160534,267451,789470,1667899,370059,263142,151140,1332998,312873,252862,11.91,36.35,48.27,6.03,15.68,0.97,0.16,1.12,0.367060346,0.498046645,0.1309863,0.03,11.2,9.18,10.22,59.97,1.96
2023,26,29983,4995,34978,19448,30,11447,4552,72.79,78.97,75.79,1581274,34.42,15561,5433,4114,881,1600798,49431,3182072,78556,79026,131773,390940,841892,183183,130436,73858,688744,154079,141980,80164,81199,135636,400607,840664,188251,133814,76665,668698,157191,122569,158720,160225,267409,791547,1682556,371434,264250,150523,1357442,311270,264549,12.31,35.76,48.07,6.11,15.53,0.94,0.16,1.1,0.359734161,0.48902099,0.129286829,0.03,10.87,8.93,9.92,59.38,1.95
2024,26,29192,4980,34172,19911,30,11337,4583,72.93,79.12,75.93,1598166,36.14,15451,5449,4114,866,1618485,49103,3216651,78464,78963,131766,391830,848587,183765,130962,73605,700628,152884,148618,79889,80907,135273,401236,847923,188758,134392,76400,680793,156618,128040,158353,159870,267039,793066,1696510,372523,265354,150005,1381421,309502,276658,12.72,35.2,47.93,6.19,15.27,0.91,0.15,1.06,0.352447312,0.480344308,0.127896996,0.03,10.54,8.66,9.62,58.4,1.92
2020,27,31893,-4125,27768,14262,28,13515,1496,72.04,78.24,75.06,1266580,24.53,9850,1036,-3665,-460,1305707,46155,2572287,67144,66176,109561,325597,705888,150926,107541,68507,549877,136927,90269,69942,68170,112276,326958,668846,152059,107953,71573,504012,143956,80268,137086,134346,221837,652555,1374734,302985,215494,140080,1053889,280883,170537,9.99,40.75,50.74,5.54,17.94,1.24,-0.16,1.08,0.525407935,0.382927722,-0.142480213,-0.02,14.23,11.54,12.92,75,2.16
2021,27,31029,-4044,26985,14575,28,13433,1513,72.16,78.35,75.19,1279635,25.63,9853,1049,-3580,-464,1320023,45604,2599658,67299,66289,109735,324995,710614,150576,107130,67894,561291,137209,94375,70330,68634,113045,327539,674565,152182,107771,70544,513872,144393,83522,137629,134923,222780,652534,1385179,302758,214901,138438,1075163,281602,177897,10.3,40.17,50.47,5.61,17.54,1.19,-0.16,1.04,0.516721815,0.379011393,-0.137710422,-0.02,13.88,11.28,12.61,73.89,2.14
2022,27,30665,-3976,26689,14882,28.53,13330,1525,72.3,78.49,75.33,1292418,26.82,9827,1052,-3503,-473,1334072,45547,2626490,67483,66375,109938,324423,714909,150477,106914,67328,572355,137249,98695,70736,69016,113798,328074,680149,152633,107851,69777,523541,144306,86981,138219,135391,223736,652497,1395058,303110,214765,137105,1095896,281555,185676,10.62,39.6,50.22,5.67,17.34,1.17,-0.15,1.02,0.507521445,0.37414953,-0.133371915,-0.02,13.49,10.97,12.26,73.63,2.13
2023,27,29819,-3893,25926,15197,29,13233,1534,72.44,78.64,75.47,1304916,28.08,9809,1065,-3424,-469,1347873,45016,2652789,67680,66487,110162,323973,718832,150555,106880,66914,583003,136937,103238,71135,69380,114518,328706,685670,153333,108195,69354,532901,143615,90625,138815,135867,224680,652679,1404502,303888,215075,136268,1115904,280552,193863,10.96,39.03,50,5.73,16.97,1.12,-0.15,0.98,0.498833492,0.369761787,-0.129071705,-0.02,13.1,10.65,11.91,72.66,2.11
